respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,¿Con qué frecuencia ha experimentado las siguientes emociones durante su proceso de aprendizaje?,,,,,,,,,,Recuerde la situación más emotiva que haya vivido este semestre.   Seleccione la emoción más relacionada  con esa situación y describa la situación.,,Recuerde la situación más difícil que haya vivido durante toda su carrera. Seleccione la emoción más relacionada con esa situación y describa la situación.,,Imagine una situación que quisiera vivir en su último semestre. Seleccione la emoción más relacionada con esa situación y describa la situación.,,"Han estado trabajando en un problema durante días sin lograr resolverlo. La fecha de entrega de la solución es mañana a primera hora. El grupo decide solicitar al profesor unos días más de plazo, pero él no lo concede.¿Qué emoción sentiría en ese momento?",,Están en la recta final para entregar el proyecto del semestre. Su proyecto genera un error y ustedes no han encontrado la causa. Unas horas antes de la entrega un compañero mira su proyecto y les indica el problema. Ustedes alcanzan a resolverlo.¿Qué emoción sentiría en ese momento?,,Su profesor les comunica que ha encontrado evidencia de copia en algunos de los trabajos del grupo y les pide a todos que se acerquen a su oficina para aclarar la situación. ¿Qué emoción sentiría en ese momento?,,¿Cuál es su género?,,¿Cuál de estos cursos está cursando actualmente?,,,,,,
10368430969,220262807,11/21/2018 12:23:41 PM,11/21/2018 12:29:43 PM,,,,,,Algunas veces,Muchas veces,Algunas veces,Casi nunca,Casi siempre,Muchas veces,Casi siempre,Algunas veces,Siempre,Muchas veces,Satisfacción,Obtener un trabajo de medio tiempo como desarrollador y sentirme en la capacidad de cumplir con mis obligaciones académicas.,Frustración,"La presentación del proyecto de último tercio de POOB, era un proyecto que a mi parecer pudo ser mucho mejor pero mis capacidades no fueron suficientes.",Disfrute,Recibir mi diploma de graduado y saber que hice un buen trabajo.,Frustración,"Considero que la dificultad del problema requiere un poco más de tiempo para ser resuelto, pero si las circunstancias no permiten posponer la fecha de entrega lo entiendo y lo asumo.",Alivio,Gracias................................................................................................,Temor,Le preguntaría si tiene algo que ver con respecto a esta situación. Me da miedo las consecuencias que todo el proceso pueda acarrear pero si no soy culpable me puedo librar fácilmente.,Másculino,,,,,,PDSW,,
10368361904,220262807,11/21/2018 11:44:24 AM,11/21/2018 12:18:18 PM,,,,,,Algunas veces,Muchas veces,Muchas veces,Muchas veces,Siempre,Casi nunca,Muchas veces,Muchas veces,Muchas veces,Algunas veces,Satisfacción,Me propuse una meta este semestre y se cumplió y ser reconocido por eso,Decepción,"Ver que me intento, estudio y me esfuerzo mucho por una materia y que no la pueda pasar por mas que le dedique tiempo.",Satisfacción,ver que todo lo que trabaje a lo largo de mi carrera tanto por fuera de la escuela como por dentro de frutos,Ansiedad,"el esta en todo su derecho de no  darnos el tiempo extra, pero con un poco mas de tiempo podemos enfrentar la entrega de una mejor forma ya que son problemas que no hemos podido solucionar",Satisfacción,"muchas muchas gracias, sin eso nos va re mal, de verdad gracias por su ayuda, si necesita algo en que le pueda ayudar quedo disponible",Curiosidad,"yo me siento tranquilo por que yo se que yo no he realizado copia, me da curiosidad saber quien fue para saber cuales son buenos compañeros de trabajo",Másculino,,,,,,PDSW,,
10368283909,220262807,11/21/2018 10:53:04 AM,11/21/2018 11:36:16 AM,,,,,,Casi nunca,Muchas veces,Algunas veces,Algunas veces,Muchas veces,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Muchas veces,Frustración,Al sentirme tan cerca de quedar por fuera de la universidad,Confusión,Al no saber si arriesgarme con la materia hasta el final o cancelarla para evitar perderla,Alivio,Por saber que pude sacar todo adelante aunque no fuera sencillo,Frustración,Que la dificultad del ejercicio no coinside con el plazo máximo para su ejecución y que es injusto para el grupo,Alivio,Le daría las gracias ya que gracias a él podemos entregar el proyecto sin errores,Temor,"Que no es justo ya que muchas veces por los que hacen copia pagan todos, entonces puede que el profesor se ponga más estricto con el curso",Másculino,,,PIMO,,,,,
10368282741,220262807,11/21/2018 11:22:25 AM,11/21/2018 11:34:16 AM,,,,,,Algunas veces,Muchas veces,Casi siempre,Muchas veces,Siempre,Muchas veces,Muchas veces,Algunas veces,Muchas veces,Casi nunca,Satisfacción,Entender muy bien temas que anteriormente no entendía,Decepción,Solo pasar 2 asignaturas en un semestre de 5 asignaturas,Satisfacción,Pasar todas las asignaturas propuestaas con buenas notas  ,Frustración,Que me parece decepcionante que un profesor no quiera ayudar a estudiantes que quieres aprender y esforzarse en una asignatura ,Satisfacción,Gracias por ayudar a sus compañeros a resolver una situación difícil,Ansiedad,Que es demasiado estrés pues todo queda a criterio de una persona,Másculino,,,PIMO,,,,,
10368277012,220262807,11/21/2018 11:20:38 AM,11/21/2018 11:28:32 AM,,,,,,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Muchas veces,Algunas veces,Muchas veces,Algunas veces,Muchas veces,Algunas veces,Satisfacción,Cuando se pudo realizar algo que en un momento pensé que no iba a poder ,Decepción,"En tercer semestre fue un momento en el que me fue muy mal, pero lo importante es que también fue el último en ser así ",Disfrute,Lo bueno es disfrutar los últimos momentos que se van a vivir en la universidad sin dejar claramente las responsabilidades académicas ,Ansiedad,"Que con el tiempo que tenemos, no vamos a realizar un buena entrega ",Alivio,Agradecimiento hacia mi compañero y de igual manera preguntaría de como fue la forma de solucionar el problema ,Confusión,Simplemente hablaría acerca de quien pudo haber sido ,Másculino,,,,,,,,COSW
10368163338,220262807,11/21/2018 10:34:51 AM,11/21/2018 10:44:30 AM,,,,,,Algunas veces,Algunas veces,Casi siempre,Muchas veces,Casi siempre,Casi siempre,Muchas veces,Muchas veces,Algunas veces,Muchas veces,Frustración,"Ver cosas en los parciales que se entienden, pero hacerlos, y tenerlos mal estando seguro de que estaba bien ",Decepción,"No poder dar el 100% en los parciales, no poder demostrar el potencial",Satisfacción,Haber pasado todas las materias y haber aprendido algo,Ansiedad,"Que no queda tiempo para todo, qué hay más materias que tenemos que atender ",Satisfacción,"Le agradecería supremamente por ayudarme, y lo tendría en cuenta para cuando necesite ayuda esa persona algún dia",Temor,"Que me gustaría saber como alguna persona puede hacer algo así, para perjudicarlo a uno, le pediría consejos para saber como ir a dar “la cara”",Másculino,,PIMB,,,,,,
10368162866,220262807,11/21/2018 10:34:21 AM,11/21/2018 10:50:49 AM,,,,,,Algunas veces,Muchas veces,Casi siempre,Algunas veces,Casi siempre,Casi siempre,Muchas veces,Muchas veces,Muchas veces,Casi siempre,Frustración,La situación más emocional del semestre fue en el momento que tuve que tomar la desviación de cancelar una materia y corría el riesgo de que tal vez pierda alguna otra ,Decepción,En el momento que tuve en riesgo de perder un semestre ,Satisfacción,Quisiera llegar a tener la satisfacción de ya haber podido pasar todas las materias y también sentiría satisfacción al estar a punto de cumplir un sueño ,Ansiedad,Que trate de ser comprensible en la situación en la que nos encontramos,Satisfacción,"Pues le diría que estuvo muy bien de parte de el haberse dado cuenta del error, pero que debimos de haber sido más cuidadosos para haber encontrado el antes. ",Confusión,"Nada por que, pues si uno no está haciendo nada malo pues no tiene nada que temer ",Másculino,,,PIMO,,,,,
10368161391,220262807,11/21/2018 10:34:02 AM,11/21/2018 10:43:30 AM,,,,,,Muchas veces,Casi nunca,Algunas veces,Muchas veces,Muchas veces,Casi siempre,Casi siempre,Casi siempre,Muchas veces,Siempre,Frustración,"Cancelar una materia, a pesar de haber estado estudiando fuertemente",Temor,Mi primedio casi queda debajo de 3.0 y quedó por fuera de universidad,Satisfacción,"Graduarme sin retraso académico, con u. Buen promedio y haciendo sentir orgulloso a mis papás",Frustración,"Que el tiempo no es suficiente, el método de trabajo de su parte debería de ser ayudar almenos con más tiempo para no entregar algo poco coherente",Satisfacción,"Gracias, me has salvado la vida. A unas horas de la entrega, eso es lo que necesitaba",Temor,"Muchísimo temor si se que estoy dentro del grupo de implicados, o muy tranquilo si se que nada de lo que entregue fue obra de la copia",Másculino,,,PIMO,,,,,
10368111462,220262807,11/21/2018 10:13:26 AM,11/21/2018 10:24:43 AM,,,,,,Algunas veces,Algunas veces,Casi nunca,Muchas veces,Casi siempre,Algunas veces,Muchas veces,Algunas veces,Muchas veces,Algunas veces,Frustración,Cuando no entiendo algún tema así me expliquen y me expliquen ,Satisfacción,De pasar alguna materia que la creía perdida por lo tanto tener resiliencia ,Satisfacción,De Álcasar todas mis metas hasta ese momento y comenzar a plantear unas nuevas,Frustración,Que así no nos quiera dar el plazo nos muestre como se soluciona ese tipo de problemas,Curiosidad,Que tengo la confusión de cómo el vio el error que me explique mejor como lo hizo,Ansiedad,Que no me parece que sabiendo que uno no ah hecho copia lo hagan perder tiempo allí ,Másculino,,,PIMO,,,,,
10368104606,220262807,11/21/2018 10:10:59 AM,11/21/2018 10:14:42 AM,,,,,,Casi nunca,Muchas veces,Algunas veces,Muchas veces,Casi siempre,Algunas veces,Muchas veces,Casi nunca,Muchas veces,Casi siempre,Satisfacción,,Aburrimiento,,Satisfacción,,Temor,,Alivio,,Temor,,Másculino,,PIMB,,,,,,
10368072050,220262807,11/21/2018 09:57:57 AM,11/21/2018 10:04:25 AM,,,,,,Algunas veces,Muchas veces,Casi nunca,Algunas veces,Muchas veces,Casi nunca,Casi siempre,Casi nunca,Algunas veces,Nunca,Disfrute,,Frustración,,Satisfacción,,Aburrimiento,,Aburrimiento,,Confusión,,Másculino,,,,,,PDSW,,
10368069931,220262807,11/21/2018 09:57:02 AM,11/21/2018 10:07:22 AM,,,,,,Muchas veces,Muchas veces,Casi nunca,Casi nunca,Muchas veces,Casi nunca,Algunas veces,Algunas veces,Casi siempre,Casi nunca,Satisfacción,Pensar que tenía pendiente arta cosas y a la hora de la verdad tenia tiempo de sobra,Decepción,"En la realidad es ""no me importa nada"" , después de la muerte de una amiga :(",Disfrute,Disfrutar todo el semestre con diferentes actividades sociales mias,Aburrimiento,"Me aburriría con el trabajo ya que si eso no sale en varios días, lo más probable es que  o salga en el último, entonces si pierde interes",Alivio,"Gracias, si estoy por ahí y necesita ayuda solo pregunte, y si quiere vamos por una pola después :v",Confusión,"El profesor va a perder el tiempo, estoy seguro de mi trabajo",Másculino,,,,,,,ARSW,
10368066454,220262807,11/21/2018 09:55:38 AM,11/21/2018 10:12:58 AM,,,,,,Muchas veces,Algunas veces,Casi nunca,Muchas veces,Casi siempre,Casi nunca,Algunas veces,Casi nunca,Algunas veces,Nunca,Curiosidad,Que se me empezara a preguntar temas que no he visto y comenzar a buscarlos por cuenta propia,Decepción,No poder llevar a cabo un proyecto de un curso de la asignatura,Alivio,Sensación de haber cerrado un ciclo (la educación superior) para usar lo aprendido en un siguiente punto,Decepción,"Que asumir es lo único que hace falta, que se califique según lo que se tenga y que en una próxima oportunidad se harán las cosas de mejor manera",Alivio,"Que gracias, que le debo una y le deseo que le vaya bien en la sustentación que tenga.",Curiosidad,"Que es extraño que se le pida -a todos- que se acerquen a su oficina si hubo evidencia de copia en -algunos- de los trabajos de grupo, y pues no lo vería tan grave sea quien sea porque en un trabajo de grupo hay colaboración incluso con otros grupos, el hecho de que escriban exactamente lo mismo es otro tema.",Másculino,,,,,,,ARSW,
10368063714,220262807,11/21/2018 09:54:06 AM,11/21/2018 10:10:59 AM,,,,,,Algunas veces,Muchas veces,Algunas veces,Casi nunca,Casi siempre,Algunas veces,Muchas veces,Algunas veces,Muchas veces,Casi nunca,Frustración,Este semestre mis notas no fueron las esperadas y al ver que tenia un promedio bajo me senti frustrada porque me esforzaba y no obtenia los reaultados eaperados ,Satisfacción,Cuando presente el proyecto de IINS a mi grupo y a mi nos fue muy bien ,Disfrute,Verme realizando las practicas y sentirme feliz porque hago lo que me gusta,Frustración,,Alivio,Gracias por haberme ayudado si en alguna ocación necesitas algo me avisas,Ansiedad,,Femenino,,PIMB,,,,,,
10368050721,220262807,11/21/2018 09:49:32 AM,11/21/2018 09:56:40 AM,,,,,,Muchas veces,Muchas veces,Muchas veces,Casi siempre,Siempre,Algunas veces,Casi siempre,Algunas veces,Siempre,Casi nunca,Ansiedad,"Ansiedad al tratar de hacer laboratorios de poob, debido a que por la falta de conocimiento, hubo algunos que fueron imposibles de hacer ",Decepción,Cuando perdí pimb porque en los primeros cortes no entendía nada y ya al final era muy tarde ,Curiosidad,La situación que me gustaría vivir al final de mi carrera o antes es poder terminarla en otro país ,Temor,"Le explicaría la situación, le muestro todos los intentos realizados para tratar de solucionar el problema, y pedirle que acceda",Alivio,Le agradecería fervorosamente y lo invito a algún lado ,Frustración,"Le contaría que no tuve que ver nada con eso, y mi frustración al ver que alguien copio lo mío ",Másculino,,,,,POOB,,,
10368049963,220262807,11/21/2018 09:49:10 AM,11/21/2018 09:58:53 AM,,,,,,Casi siempre,Muchas veces,Casi siempre,Algunas veces,Casi siempre,Algunas veces,Casi siempre,Casi siempre,Muchas veces,Algunas veces,Ansiedad,Cuando inició el último tercio pensaba en que debía cancelar una materia ,Ansiedad,Debido a la carga de responsabilidades que se acumularon en un mes ,Satisfacción,Haber decidió cuál será mi enfoque y mi próximo paso una vez salga de la escuela,Temor,Tal vez si no he encontrado la solución es porque voy en un camino errado que me diera un indicio de que camino se debería seguír,Satisfacción,"Gracias por la ayuda, porque habrá salvado el esfuerzo realizado",Temor,"Le preguntaría si sabe algo de la situación, si puede ser cierto ",Másculino,,,,,,,,COSW
10368047130,220262807,11/21/2018 09:48:05 AM,11/21/2018 11:59:16 PM,,,,,,Casi nunca,Muchas veces,Algunas veces,Algunas veces,Siempre,Casi nunca,Casi siempre,Algunas veces,Casi siempre,Nunca,Curiosidad,Al momento de buscar conocimiento la curiosidad por el es lo que más se siente en las diferentes materias,Aburrimiento,"En algunas materias que el interés no se logra despertar, se genera aburrimiento y por esto no se aprende",Satisfacción,De saber que todo lo que he aprendido y estudiado me ha ayudado a superar una etapa y que estos conocimientos son valiosos ,Frustración,Profe aunque se intentó por bastante tiempo lograr solucionar el problema finalmente no pudimos aunque llegamos a las siguientes cosas ,Satisfacción,"Gracias, realmente nos ayudo, no sé si hubiéramos encontrado el problema a tiempo",Curiosidad,Me preguntó quién habrá realizado copia y porqué motivo lo hizo,Másculino,,,,,POOB,,,
10368040653,220262807,11/21/2018 09:44:52 AM,11/21/2018 09:54:28 AM,,,,,,Nunca,Muchas veces,Algunas veces,Algunas veces,Casi siempre,Algunas veces,Algunas veces,Algunas veces,Algunas veces,Muchas veces,Satisfacción,"Pasar el parcial que me tenía angustiada de cied, llegué al parcial del 30 sin saber qué había parcial porque él lo dijo cuando quedaban pocos en el salón. Pero fui de las pocas en pasar el del 50 entonces pude cambiar esa fea nota del 30.  ",Frustración,"Haber perdido física en 2,9. Y el parcial teórico de pimo, creo que muchos Yinis a cancelar a penas salimos fue muy frustrante. ",Disfrute,Con el hecho de graduarme y haber aprendido lo necesario basta. ,Frustración,Creo que a muchos nos ha pasado con las entregas de bases de datos. Pero se nos concede cuando se habla el tiempo de más necesario. ,Ansiedad,A veces no se ve reflejado todo el trabajo de hubo de fondo en los proyectos. Y produce ansiedad siempre salir con un proyecto que esté bien. ,Temor,"Creo que es una de las sensaciones que más asusta a cualquiera. Pero todos cometemos errores, lo único es pagar el precio de ellos ",Femenino,,,PIMO,MBDA,,,,
10368039676,220262807,11/21/2018 09:44:43 AM,11/21/2018 09:48:50 AM,,,,,,Algunas veces,Algunas veces,Algunas veces,Muchas veces,Algunas veces,Algunas veces,Algunas veces,Casi nunca,Algunas veces,Nunca,Decepción,,Ansiedad,,Satisfacción,,Decepción,,Alivio,,Confusión,,Másculino,,,PIMO,,,,,
10368033203,220262807,11/21/2018 09:42:20 AM,11/21/2018 09:52:39 AM,,,,,,Algunas veces,Casi siempre,Siempre,Muchas veces,Casi siempre,Nunca,Muchas veces,Algunas veces,Casi siempre,Muchas veces,Frustración,"El desespero con los trabajos me pone mal, tener tantos parciales un mismo día fue de lo peor, sentía que me había ido mal en todo ",Frustración,"Tuve 5 parciales en un mismo día, fue horrible tener tanta información en mí y saber que me confundía y me sentía mal ",Alivio,Se tiene la satisfacción de que ya me gradué y pude lograrlo,Ansiedad,"Qué me siento muy estresado con el trabajo, no hemos podido realizarlo y necesitamos ayuda, así sea con el plazo o ayuda de él",Satisfacción,Qué me siento muy feliz porque podré entregar el proyecto correctamente y todo gracias a él ,Frustración,Qué es injusto lo que hace el profesor en caso de ser incorrecto y que el debería de informarse mejor antes de lanzar acusaciones ,Másculino,,PIMB,,,,,,
10368031720,220262807,11/21/2018 09:41:49 AM,11/21/2018 09:46:58 AM,,,,,,Casi nunca,Casi siempre,Algunas veces,Muchas veces,Casi siempre,Casi nunca,Siempre,Casi nunca,Casi siempre,Algunas veces,Satisfacción,,Disfrute,,Satisfacción,,Frustración,Le diría que lo intente pero no lo logre hacer y que me siento un poco frustrado por eso,Alivio,Le agradecería mucho y le diría que puede contar conmigo,Temor,,Másculino,,,,MBDA,,,,
10367140005,220262807,11/20/2018 11:25:43 PM,11/20/2018 11:35:31 PM,,,,,,Algunas veces,Muchas veces,Algunas veces,Algunas veces,Muchas veces,Muchas veces,Muchas veces,Algunas veces,Muchas veces,Casi nunca,Satisfacción,Cuando en una materia que todos consideraban aburrida y sacaron bajas notas yo saque la mas alta nota.,Decepción,Perder de nuevo un corte de una materia y pensar en levantarla con mucho esfuerzo este corte.,Disfrute,"Terminar materias y estar a paz y salvo en todo, es decir tener todo listo para graduarme.",Frustración,Que me siento frustrado por no haber podido entregar todo a tiempo pero que aun asi entrego lo que tengo y acepto lo que el diga sobre la entrega.,Alivio,Que me siento aliviado por el aporte que el hizo a mi proyecto.,Satisfacción,Le diria que quien sabe quien hizo copia porque no fui yo.,Másculino,,,,,,,ARSW,
10366950233,220262807,11/20/2018 09:00:23 PM,11/20/2018 09:23:45 PM,,,,,,Algunas veces,Casi nunca,Casi siempre,Casi siempre,Muchas veces,Casi siempre,Algunas veces,Casi siempre,Algunas veces,Siempre,Frustración,"Entender los temas de la clase y saber usarlos pero sin los nombres concretos de los conceptos, a la hora de las sustentaciones al profesor no sabia que responder por el simple hecho de que me preguntaba solo con los nombres concretos o muy teórico que no entendía lo que me preguntaba. ",Temor,"Siempre he sido tímida para expresarme en frente de personas desconocidas, es por ello que siempre en esos casos temo equivocarme, es mas prefiero hacer las cosas sin darme a conocer tanto. Me gusta mas que me conozcan por los logros sin que casi me conozcan a mi.",Satisfacción,"Me encantaría, hacer algo que dejara huella y que use de todo lo que he aprendido en mi carrera universitaria y que la gente le guste, le agrade y que conozcan el proyecto. ",Ansiedad,"Si fuera uno de los profesores que no se saben dar a entender, le diría que como quiere que lo hagamos si ni siquiera él se da a entender en clase y mucho menos con lo que se quiere que se le haga en el trabajo, y que con mas esfuerzo de nuestra parte si no se da a entender no se llegara nunca a un punto en común.  ",Alivio,"Principalmente preguntaría ¿Como se dio cuenta del error?, continuamente le daría las gracias y cada vez que lo viera lo recordaría con mucho agradecimiento.",Confusión,"Mas que todo es por lo que no soy capaz de hacer copia, para mi es algo anti ético, demasiado en mi opinión, pero respeto la forma de hacerlo del profesor, también me preguntaría como quien fue y el porque lo hizo.",Femenino,,,,,POOB,,,
10366839506,220262807,11/20/2018 07:43:45 PM,11/20/2018 08:04:22 PM,,,,,,Muchas veces,Algunas veces,Casi siempre,Muchas veces,Muchas veces,Algunas veces,Muchas veces,Muchas veces,Muchas veces,Muchas veces,Aburrimiento,"Durante todas las clases de fisica, ninguno de los temas que se ven llegan a ser de mi mas minimo interes, tambien siento que es una asignatura que no aporta nada a mi carrera. Lo cual me desmotiva a estudiarla, lo cual termina siendo un problema que se refleja en las notas.",Satisfacción,Cuando termine el proyecto final de bases de datos tras 2 dias enteros de no dormir.,Disfrute,"Saber que estudio para el ultimo parcial, o que preparo la ultima sustentacion de algo",Decepción,Algunas veces es como si asumiera que el grupo solo ve esta materia durante el semestre.,Satisfacción,"Que mi nivel de aprecio a el se ha incrementado, ya que no muchos compañeros se ofrecen a ayudar causas ajenas.",Curiosidad,Le contaria toda la situacion y probablemente lamentariamos la suerte de quien fue descubierto.,Másculino,,,,,POOB,,,
10366592586,220262807,11/20/2018 05:15:04 PM,11/20/2018 05:28:44 PM,,,,,,Muchas veces,Algunas veces,Casi siempre,Muchas veces,Algunas veces,Algunas veces,Algunas veces,Muchas veces,Algunas veces,Algunas veces,Frustración,"No dormir durante toda la noche haciendo un trabajo, pero al otro día por causas indirectas no me lo aceptaron.",Frustración,"Mi rendimiento académico en mi primer semestre, bajas notas y poco ánimo.",Satisfacción,"Lograr conseguir una buena oportunidad laboral en algo que realmente me guste, preferiblemente en el exterior. ",Ansiedad,"Que ha sido muy difícil buscar una buena solución,le preguntaría si nos podría dar una nueva explicación. ",Alivio,"Que nos salvó el cuello, gracias, que sin él nos hubiéramos tardado demasiado en encontrar el error",Confusión,"Que me extraña la situación, ya que es poco normal",Másculino,,,,MBDA,,,,
